Event,Game,AwayTeam,HomeTeam,Start Date,Location,Category,TV,Week
Football,Air Force at Baylor,Air Force,Baylor,9/14/2024,Waco Texas,Football,FS1,3
Football,Colorado at Colorado St.,Colorado,Colorado St.,9/14/2024,Fort Collins Colo.,Football,CBS,3
Football,Rice at Houston,Rice,Houston,9/14/2024,Houston Texas,Football,ESPN+,3
Football,BYU at Wyoming,BYU,Wyoming,9/14/2024,Laramie Wyo.,Football,CBSSN,3
Football,Kansas St. at BYU,Kansas St.,BYU,9/21/2024,Provo Utah,Football,,4
Football,TCU at SMU,TCU,SMU,9/21/2024,Dallas Texas,Football,The CW,4
Football,Baylor at Colorado,Baylor,Colorado,9/21/2024,Boulder Colo.,Football,,4
Football,Houston at Cincinnati,Houston,Cincinnati,9/21/2024,Cincinnati Ohio,Football,,4
Football,Arizona St at Texas Tech,Arizona St,Texas Tech,9/21/2024,Lubbock Texas,Football,,4
Football,Utah at Oklahoma St.,Utah,Oklahoma St.,9/21/2024,Stillwater Okla.,Football,,4
Football,Kansas at West Virginia,Kansas,West Virginia,9/21/2024,Morgantown W.Va.,Football,,4
Football,Arkansas St. at Iowa St.,Arkansas St.,Iowa St.,9/21/2024,Ames Iowa,Football,ESPN+,4
Football,TCU at Kansas,TCU,Kansas,9/28/2024,Kansas City Mo.,Football,,5
Football,Colorado at UCF,Colorado,UCF,9/28/2024,Orlando Fla.,Football,,5
Football,Oklahoma St. at Kansas St.,Oklahoma St.,Kansas St.,9/28/2024,Manhattan Kan.,Football,,5
Football,BYU at Baylor,BYU,Baylor,9/28/2024,Waco Texas,Football,,5
Football,Cincinnati at Texas Tech,Cincinnati,Texas Tech,9/28/2024,Lubbock Texas,Football,,5
Football,Iowa St. at Houston,Iowa St.,Houston,9/28/2024,Houston Texas,Football,,5
Football,Arizona at Utah,Arizona,Utah,9/28/2024,Salt Lake City Utah,Football,,5
Football,Houston at TCU,Houston,TCU,10/4/2024,Fort Worth Texas,Football,ESPN,6
Football,UCF at Florida,UCF,Florida,10/5/2024,Gainesville Fla.,Football,,6
Football,West Virginia at Oklahoma St.,West Virginia,Oklahoma St.,10/5/2024,Stillwater Okla.,Football,,6
Football,Texas Tech at Arizona,Texas Tech,Arizona,10/5/2024,Tucson Ariz.,Football,,6
Football,Kansas at Arizona St,Kansas,Arizona St,10/5/2024,Tempe Ariz.,Football,,6
Football,Baylor at Iowa St.,Baylor,Iowa St.,10/5/2024,Ames Iowa,Football,,6
Football,Utah at Arizona St,Utah,Arizona St,10/11/2024,Tempe Ariz.,Football,ESPN,7
Football,Iowa St. at West Virginia,Iowa St.,West Virginia,10/12/2024,Morgantown W.Va.,Football,,7
Football,Arizona at BYU,Arizona,BYU,10/12/2024,Provo Utah,Football,,7
Football,Cincinnati at UCF,Cincinnati,UCF,10/12/2024,Orlando Fla.,Football,,7
Football,Kansas St. at Colorado,Kansas St.,Colorado,10/12/2024,Boulder Colo.,Football,,7
Football,Oklahoma St. at BYU,Oklahoma St.,BYU,10/18/2024,Provo Utah,Football,ESPN,8
Football,Baylor at Texas Tech,Baylor,Texas Tech,10/19/2024,Lubbock Texas,Football,,8
Football,Kansas St. at West Virginia,Kansas St.,West Virginia,10/19/2024,Morgantown W.Va.,Football,,8
Football,Arizona St at Cincinnati,Arizona St,Cincinnati,10/19/2024,Cincinnati Ohio,Football,,8
Football,UCF at Iowa St.,UCF,Iowa St.,10/19/2024,Ames Iowa,Football,,8
Football,Colorado at Arizona,Colorado,Arizona,10/19/2024,Tucson Ariz.,Football,,8
Football,Houston at Kansas,Houston,Kansas,10/19/2024,Kansas City Mo.,Football,,8
Football,TCU at Utah,TCU,Utah,10/19/2024,Salt Lake City Utah,Football,,8
Football,BYU at UCF,BYU,UCF,10/26/2024,Orlando Fla.,Football,,9
Football,Cincinnati at Colorado,Cincinnati,Colorado,10/26/2024,Boulder Colo.,Football,,9
Football,Utah at Houston,Utah,Houston,10/26/2024,Houston Texas,Football,,9
Football,Oklahoma St. at Baylor,Oklahoma St.,Baylor,10/26/2024,Waco Texas,Football,,9
Football,West Virginia at Arizona,West Virginia,Arizona,10/26/2024,Tucson Ariz.,Football,,9
Football,Kansas at Kansas St.,Kansas,Kansas St.,10/26/2024,Manhattan Kan.,Football,,9
Football,Texas Tech at TCU,Texas Tech,TCU,10/26/2024,Fort Worth Texas,Football,,9
Football,Arizona at UCF,Arizona,UCF,11/2/2024,Orlando Fla.,Football,,10
Football,Arizona St at Oklahoma St.,Arizona St,Oklahoma St.,11/2/2024,Stillwater Okla.,Football,,10
Football,Texas Tech at Iowa St.,Texas Tech,Iowa St.,11/2/2024,Ames Iowa,Football,,10
Football,TCU at Baylor,TCU,Baylor,11/2/2024,Waco Texas,Football,,10
Football,Kansas St. at Houston,Kansas St.,Houston,11/2/2024,Houston Texas,Football,,10
Football,Iowa St. at Kansas,Iowa St.,Kansas,11/9/2024,Kansas City Mo.,Football,,11
Football,UCF at Arizona St,UCF,Arizona St,11/9/2024,Tempe Ariz.,Football,,11
Football,West Virginia at Cincinnati,West Virginia,Cincinnati,11/9/2024,Cincinnati Ohio,Football,,11
Football,Colorado at Texas Tech,Colorado,Texas Tech,11/9/2024,Lubbock Texas,Football,,11
Football,Oklahoma St. at TCU,Oklahoma St.,TCU,11/9/2024,Fort Worth Texas,Football,,11
Football,BYU at Utah,BYU,Utah,11/9/2024,Salt Lake City Utah,Football,,11
Football,Houston at Arizona,Houston,Arizona,11/15/2024,Tucson Ariz.,Football,FS1,12
Football,Kansas at BYU,Kansas,BYU,11/16/2024,Provo Utah,Football,,12
Football,Utah at Colorado,Utah,Colorado,11/16/2024,Boulder Colo.,Football,,12
Football,Cincinnati at Iowa St.,Cincinnati,Iowa St.,11/16/2024,Ames Iowa,Football,,12
Football,Arizona St at Kansas St.,Arizona St,Kansas St.,11/16/2024,Manhattan Kan.,Football,,12
Football,Baylor at West Virginia,Baylor,West Virginia,11/16/2024,Morgantown W.Va.,Football,,12
Football,Colorado at Kansas,Colorado,Kansas,11/23/2024,Kansas City Mo.,Football,,13
Football,UCF at West Virginia,UCF,West Virginia,11/23/2024,Morgantown W.Va.,Football,,13
Football,Texas Tech at Oklahoma St.,Texas Tech,Oklahoma St.,11/23/2024,Stillwater Okla.,Football,,13
Football,Arizona at TCU,Arizona,TCU,11/23/2024,Fort Worth Texas,Football,,13
Football,Cincinnati at Kansas St.,Cincinnati,Kansas St.,11/23/2024,Manhattan Kan.,Football,,13
Football,BYU at Arizona St,BYU,Arizona St,11/23/2024,Tempe Ariz.,Football,,13
Football,Baylor at Houston,Baylor,Houston,11/23/2024,Houston Texas,Football,,13
Football,Iowa St. at Utah,Iowa St.,Utah,11/23/2024,Salt Lake City Utah,Football,,13
Football,Oklahoma St. at Colorado,Oklahoma St.,Colorado,11/29/2024,Boulder Colo.,Football,ABC,14
Football,Houston at BYU,Houston,BYU,11/30/2024,Provo Utah,Football,,14
Football,Utah at UCF,Utah,UCF,11/29/2024,Orlando Fla.,Football,FOX,14
Football,West Virginia at Texas Tech,West Virginia,Texas Tech,11/30/2024,Lubbock Texas,Football,,14
Football,Arizona St at Arizona,Arizona St,Arizona,11/30/2024,Tucson Ariz.,Football,,14
Football,Kansas at Baylor,Kansas,Baylor,11/30/2024,Waco Texas,Football,,14
Football,Kansas St. at Iowa St.,Kansas St.,Iowa St.,11/30/2024,Ames Iowa,Football,,14
Football,TCU at Cincinnati,TCU,Cincinnati,11/30/2024,Cincinnati Ohio,Football,,14
